intro,challenge,decision,result,choice1,choice2,choice3,choice4,correctIndex
"あなたは暗い部屋(バリエーション1)で目を覚ました。","目の前に鍵のかかった扉がある。","鍵を探すことで突破できるかもしれない。","扉が開いた！次のステージへ進め！","机の上を探す","壁の隙間を見る","懐中電灯を点ける","床下を覗く",0
"あなたは研究室(バリエーション1)で意識を取り戻した。","謎のスイッチがある。押すと何かが起こるかもしれない。","スイッチを押して装置を起動させてみよう。","機械が動き出した！次のステージへ進め！","スイッチを調べる","安全装置を解除する","装置にコードを入力する","机の引き出しを開ける",1
"あなたは地下室(バリエーション1)で気がついた。","古いパズル装置が置かれている。","パズルを解くことで先に進めそうだ。","仕掛けが解除された！次のステージへ進め！","パズルのピースをはめる","壁のレバーを引く","ヒントを探す","扉を叩く",2
"あなたは廃墟の病院(バリエーション1)にいる。","奇妙な医療器具が散乱している。","道具を使ってドアを開けられるかも。","ドアがこじ開けられた！次のステージへ進め！","メスを拾う","医療棚を漁る","錆びた鍵を使う","バールを使う",3
"あなたは監獄(バリエーション1)の独房で目を覚ました。","ドアには警報装置が仕掛けられている。","警報を止める方法を探さないと。","警報が停止した！次のステージへ進め！","スイッチを探す","配線を切断する","看守を呼ぶ","懐中電灯を使う",1
"あなたは図書館(バリエーション1)で目を覚ました。","古い本棚がたくさん並んでいる。","本の中にヒントが隠されていそうだ。","隠し扉が開いた！次のステージへ進め！","古い本を調べる","梯子を使う","机の下を見る","壁紙をはがす",0
"あなたは森の中の小屋(バリエーション1)で目を覚ました。","動物の鳴き声が聞こえる。","外の様子を確認してみるべきだ。","出口を見つけた！次のステージへ進め！","窓から外を覗く","ドアをこじ開ける","木の枝を拾う","マッチを擦る",0
"あなたは豪華客船(バリエーション1)の船室で目を覚ました。","船内放送で非常事態を知らせている。","緊急の避難手段を探さなければならない。","救命ボートの場所がわかった！次のステージへ進め！","廊下を探索する","救命胴衣を着る","窓を壊す","船員を探す",3
"あなたは遺跡(バリエーション1)の一角で目を覚ました。","石碑に謎の文字が刻まれている。","文字の解読ができれば何かが起こりそうだ。","扉がゴゴゴと開いた！次のステージへ進め！","石碑をこすってみる","紙に書き写す","火を灯す","周囲を掘る",1
"あなたは巨大な倉庫(バリエーション1)で目を覚ました。","高く積まれた木箱が不気味に並んでいる。","木箱の中に何か手がかりがあるかもしれない。","脱出口が見つかった！次のステージへ進め！","木箱を開ける","クレーンを操作する","ライトを探す","扉を叩く",2
"あなたは暗い部屋(バリエーション2)で目を覚ました。","天井から水滴が落ちている。","水漏れを止めないと先に進めないかもしれない。","水が止まり、奥の通路が開いた！次のステージへ進め！","バケツを探す","配管を直す","床を拭く","壁のスイッチを押す",1
"あなたは研究室(バリエーション2)で意識を取り戻した。","化学薬品の臭いが充満している。","薬品を使えばドアを溶かせるかもしれない。","ドアが溶けて開いた！次のステージへ進め！","防護マスクをかぶる","薬品を調合する","送風機を動かす","棚を動かす",1
"あなたは地下室(バリエーション2)で気がついた。","大量のクモの巣が張っている。","巣を取り除かないと先へ進めない。","クモの巣を払いのけ、道が開けた！次のステージへ進め！","棒を使って払う","火で焼く","水で流す","クモを追い払う",0
"あなたは廃墟の病院(バリエーション2)にいる。","古いカートが倒れて道を塞いでいる。","カートをどかせば先へ行けるかもしれない。","カートを移動させた！次のステージへ進め！","カートを押す","床を掃除する","車輪を外す","天井からロープを下ろす",0
"あなたは監獄(バリエーション2)の独房で目を覚ました。","かすかに風の通り道がある。","通気口を調べれば出口が見つかるかも。","通気口を抜けて脱出路を発見！次のステージへ進め！","通気口を外す","看守の鍵を奪う","窓を壊す","壁を壊す",0
"あなたは図書館(バリエーション2)で目を覚ました。","棚の上の方に大きな本が見える。","本を取れば秘密が書いてあるかもしれない。","本を開くと暗号が分かった！次のステージへ進め！","梯子を使う","背伸びをする","下の本を抜く","司書に尋ねる",0
"あなたは森の中の小屋(バリエーション2)で目を覚ました。","ドアに頑丈な板が打ち付けてある。","板を外さないと外に出られない。","板が外れて扉が開いた！次のステージへ進め！","バールを探す","ノコギリを使う","ナイフで切る","足で蹴破る",0
"あなたは豪華客船(バリエーション2)の船室で目を覚ました。","海賊が乗り込んでいるらしい。","何とかして隠れながら脱出しなければ。","海賊の目をかいくぐって甲板へ進めた！次のステージへ進め！","ベッドの下に隠れる","船員服に着替える","ロープで降りる","非常ベルを鳴らす",2
"あなたは遺跡(バリエーション2)の一角で目を覚ました。","石像が壁を塞いでいる。","石像を動かせば道が開くかもしれない。","石像を動かして抜け道発見！次のステージへ進め！","石像を押す","石像を引く","石像を回転させる","石像を破壊する",2
"あなたは巨大な倉庫(バリエーション2)で目を覚ました。","クレーンが天井にぶら下がっている。","クレーンを操作すれば何か動かせそうだ。","クレーンで箱をどけ、出口が見えた！次のステージへ進め！","操作盤を探す","クレーンに乗る","コードを接続する","大型ハンマーを使う",0
"あなたは暗い部屋(バリエーション3)で目を覚ました。","床に妙な図形が描かれている。","図形を辿ると仕掛けが発動しそうだ。","図形が光り、隠し扉が開いた！次のステージへ進め！","線に沿って歩く","線を消す","図形を塗りつぶす","床を叩く",0
"あなたは研究室(バリエーション3)で意識を取り戻した。","試験管やフラスコが散乱している。","実験道具を活用して解決できるかも。","薬品反応でドアが開いた！次のステージへ進め！","薬品を混ぜる","風船を膨らます","無視してドアを叩く","保護メガネをかける",0
"あなたは地下室(バリエーション3)で気がついた。","足元が水浸しになっている。","水を抜いて安全を確保しよう。","水が引き、通路が見つかった！次のステージへ進め！","排水溝を開ける","バケツで汲む","ポンプを動かす","扉を壊す",2
"あなたは廃墟の病院(バリエーション3)にいる。","奥の部屋からかすかな声がする。","声の正体を確かめに行こう。","声の主を助け、出口のヒントを得た！次のステージへ進め！","声を呼びかける","ライトで照らす","耳を塞ぐ","周囲をノックする",0
"あなたは監獄(バリエーション3)の独房で目を覚ました。","扉の向こうで誰かが囁いている。","話しかけて情報を得られるかも。","看守の情報で隠し道がわかった！次のステージへ進め！","扉の隙間から話す","紙にメモを書く","床を叩いて合図を送る","騒音を立てる",0
"あなたは図書館(バリエーション3)で目を覚ました。","古文書が机の上に広げられている。","古文書を解読できれば秘密がわかるかも。","暗号を解読して次の部屋への鍵を発見！","古文書に触れる","手袋をはめる","拡大鏡を使う","別の本と比較する",3
"あなたは森の中の小屋(バリエーション3)で目を覚ました。","戸口に大きな鎖がかかっている。","鎖を切る方法を考えないと。","鎖が外れて扉が開いた！次のステージへ進め！","ボルトカッターを探す","引っ張って壊す","罠を仕掛ける","油を塗る",0
"あなたは豪華客船(バリエーション3)の船室で目を覚ました。","廊下が浸水している音が聞こえる。","漏水を食い止めるか、別の道を探すか。","水をせき止め、安全ルートを確保！次のステージへ進め！","バルブを閉める","乗客に声をかける","救命胴衣を装備","非常灯を点ける",0
"あなたは遺跡(バリエーション3)の一角で目を覚ました。","壁画にヒントらしきものが描かれている。","壁画を読み解くことで仕掛けを解除できるかも。","仕掛けが開き、大きな石扉が動いた！次のステージへ進め！","壁画をなぞる","紙に模写する","文字を声に出す","付近を掘る",2
"あなたは巨大な倉庫(バリエーション3)で目を覚ました。","積み上げられた箱が今にも崩れそうだ。","安全に移動できるように対策しよう。","崩落を回避し、先への通路が開いた！次のステージへ進め！","縄で固定する","箱をひとつずつ移動","ヘルメットを被る","監視カメラを見る",1
